Model: yoshitomo-matsubara/bert-large-uncased-cola  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      1,094,528    91.151     8.849     8.849  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.57    6.66    0.62

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  1,120,796,672     0.000     3.756     0.000  |   0.00    0.00    0.00    0.02    0.15    1.70   16.61   77.76    3.76    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L16     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.12    0.76    3.01    3.53    1.41    0.00    0.00    0.00    0.00    0.00
  L17     2,241,593,344    91.151     0.000     0.000  |   0.00    0.01    0.03    0.14    0.68    2.61    3.76    1.61    0.00    0.00    0.00    0.00    0.00
  L18     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.14    0.72    2.52    3.37    2.08    0.00    0.00    0.00    0.00    0.00
  L19     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.00    0.02    0.31    2.11    4.14    2.26    0.00    0.00    0.00    0.00    0.00
  L20     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.15    0.85    2.68    3.05    2.10    0.00    0.00    0.00    0.00    0.00
  L21     2,241,593,344    91.151     0.000     0.000  |   0.13    0.08    0.08    0.08    0.21    1.37    4.50    2.38    0.00    0.00    0.00    0.00    0.00
  L22     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.07    0.14    0.71    2.22    3.51    2.20    0.00    0.00    0.00    0.00    0.00
  L23     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.06    0.20    1.03    2.17    3.31    2.08    0.00    0.00    0.00    0.00    0.00
  AGG   53,798,240,256    91.151     0.000     0.000  |   0.02    0.02    0.04    0.11    0.48    2.24    4.08    1.86    0.00    0.00    0.00    0.00    0.00

Probe: attn_context (Softmax × V)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      1,120,796,672     0.000     0.037     0.000  |   0.00    0.00    0.01    0.05    0.50    5.17   46.71   47.53    0.04    0.00    0.00    0.00    0.00
