timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 04:36:03.433, 1, 0, 3732
2026/05/20 04:36:18.502, 0, 89, 9502
2026/05/20 04:36:18.507, 1, 0, 3732
2026/05/20 04:36:33.576, 0, 93, 9790
2026/05/20 04:36:33.584, 1, 0, 3732
2026/05/20 04:36:48.670, 0, 89, 9790
2026/05/20 04:36:48.675, 1, 0, 3732
2026/05/20 04:37:03.764, 0, 89, 9790
2026/05/20 04:37:03.770, 1, 0, 3732
2026/05/20 04:37:18.836, 0, 98, 9790
2026/05/20 04:37:18.840, 1, 0, 3732
2026/05/20 04:37:33.926, 0, 88, 9790
2026/05/20 04:37:33.928, 1, 0, 3732
2026/05/20 04:37:49.035, 0, 89, 9790
2026/05/20 04:37:49.038, 1, 0, 3732
2026/05/20 04:38:04.105, 0, 89, 9790
2026/05/20 04:38:04.111, 1, 0, 3732
2026/05/20 04:38:19.181, 0, 89, 9790
2026/05/20 04:38:19.185, 1, 0, 3732
2026/05/20 04:38:34.253, 0, 89, 9790
2026/05/20 04:38:34.259, 1, 0, 3732
2026/05/20 04:38:49.319, 0, 51, 9790
2026/05/20 04:38:49.321, 1, 0, 3732
2026/05/20 04:39:04.385, 0, 89, 9790
2026/05/20 04:39:04.390, 1, 0, 3732
2026/05/20 04:39:19.460, 0, 89, 9790
2026/05/20 04:39:19.463, 1, 0, 3732
2026/05/20 04:39:34.551, 0, 24, 9790
2026/05/20 04:39:34.557, 1, 0, 3732
2026/05/20 04:39:49.623, 0, 96, 9790
2026/05/20 04:39:49.626, 1, 0, 3732
2026/05/20 04:40:04.692, 0, 98, 9790
2026/05/20 04:40:04.699, 1, 0, 3732
2026/05/20 04:40:19.782, 0, 89, 9790
2026/05/20 04:40:19.788, 1, 0, 3732
2026/05/20 04:40:34.875, 0, 89, 9790
2026/05/20 04:40:34.880, 1, 0, 3732
2026/05/20 04:40:49.952, 0, 10, 9790
2026/05/20 04:40:49.960, 1, 0, 3732
2026/05/20 04:41:05.027, 0, 89, 9790
2026/05/20 04:41:05.032, 1, 0, 3732
2026/05/20 04:41:20.120, 0, 89, 9790
2026/05/20 04:41:20.126, 1, 0, 3732
2026/05/20 04:41:35.192, 0, 89, 9790
2026/05/20 04:41:35.197, 1, 0, 3732
2026/05/20 04:41:50.264, 0, 94, 9790
2026/05/20 04:41:50.268, 1, 0, 3732
2026/05/20 04:42:05.336, 0, 87, 9790
2026/05/20 04:42:05.342, 1, 0, 3732
2026/05/20 04:42:20.409, 0, 89, 9790
2026/05/20 04:42:20.414, 1, 0, 3732
2026/05/20 04:42:35.496, 0, 77, 9790
2026/05/20 04:42:35.499, 1, 0, 3732
2026/05/20 04:42:50.583, 0, 96, 9790
2026/05/20 04:42:50.586, 1, 0, 3732
2026/05/20 04:43:05.653, 0, 18, 9790
2026/05/20 04:43:05.659, 1, 0, 3732
2026/05/20 04:43:20.724, 0, 91, 9790
2026/05/20 04:43:20.730, 1, 0, 3732
2026/05/20 04:43:35.816, 0, 89, 9790
2026/05/20 04:43:35.819, 1, 0, 3732
2026/05/20 04:43:50.883, 0, 89, 9790
2026/05/20 04:43:50.889, 1, 0, 3732
2026/05/20 04:44:05.956, 0, 98, 9790
2026/05/20 04:44:05.961, 1, 0, 3732
2026/05/20 04:44:21.028, 0, 93, 9790
2026/05/20 04:44:21.034, 1, 0, 3732
2026/05/20 04:44:36.100, 0, 98, 9790
2026/05/20 04:44:36.105, 1, 0, 3732
2026/05/20 04:44:51.171, 0, 96, 9790
2026/05/20 04:44:51.174, 1, 0, 3732
2026/05/20 04:45:06.257, 0, 54, 9790
2026/05/20 04:45:06.262, 1, 0, 3732
2026/05/20 04:45:21.327, 0, 96, 9790
2026/05/20 04:45:21.333, 1, 0, 3732
2026/05/20 04:45:36.400, 0, 78, 9790
2026/05/20 04:45:36.405, 1, 0, 3732
2026/05/20 04:45:51.476, 0, 82, 9790
2026/05/20 04:45:51.479, 1, 0, 3732
2026/05/20 04:46:06.545, 0, 98, 9790
2026/05/20 04:46:06.550, 1, 0, 3732
2026/05/20 04:46:21.617, 0, 89, 9790
2026/05/20 04:46:21.623, 1, 0, 3732
2026/05/20 04:46:36.727, 0, 39, 9790
2026/05/20 04:46:36.736, 1, 0, 3732
2026/05/20 04:46:51.822, 0, 98, 9790
2026/05/20 04:46:51.829, 1, 0, 3732
2026/05/20 04:47:06.896, 0, 94, 9790
2026/05/20 04:47:06.901, 1, 0, 3732
2026/05/20 04:47:22.007, 0, 89, 9790
2026/05/20 04:47:22.014, 1, 0, 3732
