model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]"
OPT-1.3B,L14,LayerNorm/self_attn/weight,2048,0.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
OPT-1.3B,L15,Attn/K/bias,2048,0.0,0,0.0,0,0.0,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.048828125,0.68359375,51.806640625,47.4609375,0.0
OPT-1.3B,L15,Attn/K/weight,4194304,0.0001430511474609375,0,0.0,0,0.0,-0.26513671875,0.264892578125,0.26513671875,0.00019073486328125,0.0034809112548828125,0.03528594970703125,0.3581047058105469,3.5626649856567383,34.03284549713135,61.95473670959473,0.052547454833984375,0.0
OPT-1.3B,L15,Attn/O/bias,2048,0.0,0,0.0,0,0.0,-0.25,0.2176513671875,0.25,0.0,0.0,0.1953125,0.5859375,6.982421875,58.642578125,33.30078125,0.29296875,0.0
OPT-1.3B,L15,Attn/O/weight,4194304,7.152557373046875e-05,0,0.0,0,0.0,-0.253662109375,0.255615234375,0.255615234375,0.0001430511474609375,0.004291534423828125,0.04622936248779297,0.4412412643432617,4.440593719482422,41.14677906036377,53.91654968261719,0.004100799560546875,0.0
OPT-1.3B,L15,Attn/Q/bias,2048,0.0,0,0.0,0,0.0,-0.250244140625,0.251953125,0.251953125,0.0,0.0,0.09765625,0.5859375,5.078125,43.26171875,49.609375,1.3671875,0.0
OPT-1.3B,L15,Attn/Q/weight,4194304,7.152557373046875e-05,0,0.0,0,0.0,-0.2496337890625,0.25,0.25,0.00021457672119140625,0.0033855438232421875,0.03299713134765625,0.3338336944580078,3.368806838989258,32.08754062652588,64.16399478912354,0.0091552734375,0.0
OPT-1.3B,L15,Attn/V/bias,2048,0.0,0,0.0,0,0.0,-0.0391845703125,0.0272979736328125,0.0391845703125,0.0,0.09765625,0.341796875,4.78515625,45.751953125,48.193359375,0.830078125,0.0,0.0
OPT-1.3B,L15,Attn/V/weight,4194304,0.0001430511474609375,0,0.0,0,0.0,-0.1441650390625,0.14599609375,0.14599609375,0.00016689300537109375,0.00400543212890625,0.04425048828125,0.4341602325439453,4.309415817260742,39.160895347595215,56.04581832885742,0.0011444091796875,0.0
OPT-1.3B,L15,FFN/Intermediate/bias,8192,0.0,0,0.0,0,0.0,-0.06463623046875,0.1015625,0.1015625,0.0,0.0,0.0,0.28076171875,2.96630859375,41.76025390625,54.98046875,0.01220703125,0.0
OPT-1.3B,L15,FFN/Intermediate/weight,16777216,9.5367431640625e-05,0,0.0,0,0.0,-0.182861328125,0.2279052734375,0.2279052734375,0.0003457069396972656,0.0038862228393554688,0.03801584243774414,0.3814518451690674,3.8043200969696045,35.944175720214844,59.819090366363525,0.008618831634521484,0.0
OPT-1.3B,L15,FFN/Output/bias,2048,0.0,0,0.0,0,0.0,-0.1435546875,0.125732421875,0.1435546875,0.0,0.0,0.146484375,0.634765625,6.005859375,52.783203125,40.33203125,0.09765625,0.0
OPT-1.3B,L15,FFN/Output/weight,16777216,0.0001609325408935547,0,0.0,0,0.0,-0.25146484375,0.369873046875,0.369873046875,0.0002980232238769531,0.004285573959350586,0.04063844680786133,0.406569242477417,4.078459739685059,37.72284388542175,57.72441625595093,0.022327899932861328,0.0
OPT-1.3B,L15,LayerNorm/final/bias,2048,0.0,0,0.0,0,0.0,-0.1805419921875,0.1795654296875,0.1805419921875,0.0,0.0,0.0,0.048828125,0.830078125,6.93359375,72.412109375,19.775390625,0.0
OPT-1.3B,L15,LayerNorm/final/weight,2048,0.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
OPT-1.3B,L15,LayerNorm/self_attn/bias,2048,0.0,0,0.0,0,0.0,-0.167724609375,0.158203125,0.167724609375,0.0,0.0,0.048828125,0.09765625,2.978515625,25.29296875,71.240234375,0.341796875,0.0
