task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,12,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,25.517460,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,13,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,19.082161,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,14,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,16.610586,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,15,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,16.712305,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,16,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,17.685295,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,17,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,23.535221,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,18,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,17.562103,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,19,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,15.833736,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,20,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,18.291435,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,21,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,12.667918,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,22,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,9.774585,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,23,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,9.453273,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),0,2241593344,0.007812,0.054276,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),1,2241593344,0.007813,0.064804,0.000000,0.999989,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),2,2241593344,0.007812,0.049182,0.000000,0.999919,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),3,2241593344,0.007813,0.051399,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),4,2241593344,0.007813,0.051322,0.000000,0.999926,
