task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,17,1120796672,0,0.0000,453874509,40.4957,0,0.0000,0.0000,0.0001,0.0006,0.0061,0.0611,0.6108,6.0993,52.7263,40.4957,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,18,1120796672,0,0.0000,375342169,33.4889,0,0.0000,0.0000,0.0001,0.0007,0.0071,0.0713,0.7142,7.1430,58.5747,33.4889,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,19,1120796672,0,0.0000,338959501,30.2427,0,0.0000,0.0000,0.0001,0.0008,0.0079,0.0789,0.7879,7.8435,61.0382,30.2427,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,20,1120796672,0,0.0000,367806745,32.8165,0,0.0000,0.0000,0.0001,0.0008,0.0074,0.0742,0.7442,7.5492,58.8076,32.8165,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,21,1120796672,1,0.0000,411605659,36.7244,0,0.0000,0.0000,0.0001,0.0008,0.0078,0.0777,0.7781,7.6988,54.7123,36.7244,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,22,1120796672,0,0.0000,426373479,38.0420,0,0.0000,0.0000,0.0001,0.0008,0.0076,0.0757,0.7548,7.4457,53.6734,38.0420,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,23,1120796672,0,0.0000,458745089,40.9303,0,0.0000,0.0000,0.0001,0.0008,0.0079,0.0790,0.7909,7.6344,50.5566,40.9303,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,AGG,26899120128,3,0.0000,6818926789,25.3500,0,0.0000,0.0000,0.0001,0.0010,0.0105,0.1061,1.0641,10.4906,62.9777,25.3500,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,0,1120796672,0,0.0000,16261265,1.4509,0,0.0000,0.0000,0.0000,0.0009,0.0193,0.2153,2.1668,21.1132,75.0337,1.4509,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,1,1120796672,0,0.0000,86200722,7.6910,0,0.0000,0.0000,0.0001,0.0013,0.0134,0.1335,1.3349,13.1553,77.6704,7.6910,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,2,1120796672,0,0.0000,24827942,2.2152,0,0.0000,0.0000,0.0002,0.0020,0.0197,0.1967,1.9649,19.2790,76.3224,2.2152,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,3,1120796672,4,0.0000,10575973,0.9436,0,0.0000,0.0000,0.0003,0.0026,0.0257,0.2577,2.5766,24.8318,71.3617,0.9436,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,4,1120796672,1,0.0000,6859409,0.6120,0,0.0000,0.0000,0.0003,0.0029,0.0288,0.2879,2.8757,27.7758,68.4166,0.6120,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,5,1120796672,3,0.0000,8002489,0.7140,0,0.0000,0.0000,0.0004,0.0041,0.0409,0.4086,4.0829,38.0721,56.6769,0.7140,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,6,1120796672,5,0.0000,9295874,0.8294,0,0.0000,0.0001,0.0005,0.0054,0.0540,0.5391,5.3819,47.3487,45.8410,0.8294,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,7,1120796672,4,0.0000,11249533,1.0037,0,0.0000,0.0001,0.0007,0.0066,0.0660,0.6597,6.5794,54.8173,36.8666,1.0037,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,8,1120796672,3,0.0000,9491458,0.8468,0,0.0000,0.0001,0.0005,0.0052,0.0519,0.5179,5.1704,46.3375,47.0697,0.8468,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,9,1120796672,4,0.0000,15470864,1.3803,0,0.0000,0.0000,0.0004,0.0040,0.0395,0.3949,3.9463,36.8271,57.4075,1.3803,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,10,1120796672,2,0.0000,12535440,1.1184,0,0.0000,0.0000,0.0003,0.0030,0.0298,0.2978,2.9768,28.5294,67.0443,1.1184,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,11,1120796672,1,0.0000,36453266,3.2524,0,0.0000,0.0000,0.0002,0.0020,0.0195,0.1966,1.9628,18.9235,75.6430,3.2524,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,12,1120796672,4,0.0000,39705174,3.5426,0,0.0000,0.0000,0.0002,0.0018,0.0181,0.1810,1.8071,17.3082,77.1410,3.5426,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,13,1120796672,2,0.0000,38900948,3.4708,0,0.0000,0.0000,0.0002,0.0018,0.0182,0.1823,1.8193,17.3776,77.1297,3.4708,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,14,1120796672,1,0.0000,86510669,7.7187,0,0.0000,0.0000,0.0001,0.0015,0.0148,0.1482,1.4807,14.0532,76.5828,7.7187,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,15,1120796672,2,0.0000,98097809,8.7525,0,0.0000,0.0000,0.0001,0.0014,0.0141,0.1403,1.4050,13.4585,76.2280,8.7525,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,16,1120796672,1,0.0000,106432568,9.4962,0,0.0000,0.0000,0.0001,0.0014,0.0138,0.1385,1.3834,13.3855,75.5810,9.4962,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,17,1120796672,2,0.0000,92651946,8.2666,0,0.0000,0.0000,0.0001,0.0014,0.0141,0.1407,1.4066,13.8730,76.2975,8.2666,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,18,1120796672,0,0.0000,133482572,11.9096,0,0.0000,0.0000,0.0002,0.0016,0.0155,0.1553,1.5508,14.4399,71.9271,11.9096,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,19,1120796672,1,0.0000,147031764,13.1185,0,0.0000,0.0000,0.0002,0.0017,0.0166,0.1663,1.6615,14.3759,70.6593,13.1185,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,20,1120796672,1,0.0000,199175833,17.7709,0,0.0000,0.0000,0.0002,0.0017,0.0169,0.1691,1.6860,13.5741,66.7811,17.7709,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,21,1120796672,2,0.0000,232676568,20.7599,0,0.0000,0.0000,0.0001,0.0015,0.0143,0.1440,1.4361,12.6057,65.0384,20.7599,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,22,1120796672,0,0.0000,233869439,20.8664,0,0.0000,0.0000,0.0001,0.0012,0.0118,0.1173,1.1720,11.2800,66.5512,20.8664,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,23,1120796672,0,0.0000,271855677,24.2556,0,0.0000,0.0000,0.0001,0.0011,0.0112,0.1112,1.1148,10.5618,63.9440,24.2556,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,value_proj,XW_v + b_v,AGG,26899120128,43,0.0000,1927615202,7.1661,0,0.0000,0.0000,0.0002,0.0024,0.0245,0.2458,2.4559,22.6377,67.4673,7.1661,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),0,2241593344,0,0.0000,2087144196,93.1098,893235653,39.8482,0.0000,0.0000,0.0004,0.0012,0.0071,0.0643,0.5970,6.2201,53.2616,39.8243,0.0240,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),1,2241593344,0,0.0000,2228866055,99.4322,2056392539,91.7380,0.0000,0.0000,0.0000,0.0001,0.0005,0.0051,0.0510,0.5111,7.6942,91.7245,0.0135,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),2,2241593344,0,0.0000,2038512589,90.9403,615936838,27.4776,0.0000,0.0000,0.0001,0.0008,0.0082,0.0815,0.8141,8.1550,63.4627,27.4730,0.0046,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),3,2241593344,0,0.0000,2200310393,98.1583,1491975168,66.5587,0.0000,0.0000,0.0000,0.0002,0.0016,0.0164,0.1642,1.6592,31.5996,66.3371,0.2216,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),4,2241593344,0,0.0000,2172117374,96.9006,1419622616,63.3310,0.0000,0.0000,0.0000,0.0003,0.0028,0.0277,0.2782,2.7904,33.5696,63.1693,0.1617,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),5,2241593344,0,0.0000,2223291316,99.1835,2082144131,92.8868,0.0000,0.0000,0.0000,0.0001,0.0007,0.0073,0.0737,0.7347,6.2967,92.8868,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),6,2241593344,0,0.0000,2233336023,99.6316,1933614048,86.2607,0.0000,0.0000,0.0000,0.0000,0.0003,0.0033,0.0328,0.3319,13.3709,86.2607,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),7,2241593344,0,0.0000,2231936442,99.5692,747272317,33.3367,0.0000,0.0000,0.0000,0.0000,0.0004,0.0038,0.0381,0.3884,66.2325,33.3367,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),8,2241593344,0,0.0000,2223067333,99.1735,1610604745,71.8509,0.0000,0.0000,0.0000,0.0001,0.0007,0.0074,0.0743,0.7439,27.3226,71.8509,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),9,2241593344,0,0.0000,2209823269,98.5827,1902683027,84.8808,0.0000,0.0000,0.0000,0.0001,0.0013,0.0128,0.1275,1.2756,13.7019,84.7583,0.1225,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),10,2241593344,0,0.0000,2206839180,98.4496,1899563075,84.7416,0.0000,0.0000,0.0000,0.0001,0.0014,0.0140,0.1395,1.3954,13.7079,84.6414,0.1002,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),11,2241593344,0,0.0000,2205491710,98.3895,1749795902,78.0604,0.0000,0.0000,0.0000,0.0001,0.0015,0.0145,0.1443,1.4502,20.3291,78.0573,0.0031,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,qkt_raw,QKᵀ (raw),12,2241593344,0,0.0000,2146962640,95.7784,1267153519,56.5291,0.0000,0.0000,0.0000,0.0004,0.0038,0.0379,0.3797,3.7997,39.2493,56.5251,0.0040,0.0000,0.0000
