timestamp, index, name, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/16 20:07:59.784, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.21
2026/08/16 20:08:14.816, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.24
2026/08/16 20:08:29.871, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.84
2026/08/16 20:08:44.904, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.70
2026/08/16 20:08:59.953, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.85
2026/08/16 20:09:14.984, 0, NVIDIA GeForce RTX 4090, 99, 1592, 344.58
2026/08/16 20:09:30.031, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.74
2026/08/16 20:09:45.063, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.92
2026/08/16 20:10:00.118, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.86
2026/08/16 20:10:15.151, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.58
2026/08/16 20:10:30.207, 0, NVIDIA GeForce RTX 4090, 93, 1592, 343.08
2026/08/16 20:10:45.240, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.85
2026/08/16 20:11:00.295, 0, NVIDIA GeForce RTX 4090, 95, 1592, 345.02
2026/08/16 20:11:15.327, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.56
2026/08/16 20:11:30.377, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.93
2026/08/16 20:11:45.410, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.76
2026/08/16 20:12:00.462, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.50
2026/08/16 20:12:15.496, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.07
2026/08/16 20:12:30.550, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.30
2026/08/16 20:12:45.584, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.69
2026/08/16 20:13:00.638, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.64
2026/08/16 20:13:15.671, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.22
2026/08/16 20:13:30.726, 0, NVIDIA GeForce RTX 4090, 98, 1592, 344.95
2026/08/16 20:13:45.758, 0, NVIDIA GeForce RTX 4090, 95, 1592, 344.49
2026/08/16 20:14:00.813, 0, NVIDIA GeForce RTX 4090, 83, 1592, 341.45
2026/08/16 20:14:15.846, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.01
2026/08/16 20:14:30.894, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.36
2026/08/16 20:14:45.926, 0, NVIDIA GeForce RTX 4090, 96, 1592, 340.77
2026/08/16 20:15:00.979, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.75
2026/08/16 20:15:16.009, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.37
2026/08/16 20:15:31.057, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.61
2026/08/16 20:15:46.090, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.32
2026/08/16 20:16:01.139, 0, NVIDIA GeForce RTX 4090, 98, 1592, 345.13
2026/08/16 20:16:16.172, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.33
2026/08/16 20:16:31.221, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.02
2026/08/16 20:16:46.253, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.48
2026/08/16 20:17:01.308, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.84
2026/08/16 20:17:16.341, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.00
2026/08/16 20:17:31.396, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.77
2026/08/16 20:17:46.430, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.65
2026/08/16 20:18:01.485, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.93
2026/08/16 20:18:16.518, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.87
2026/08/16 20:18:31.572, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.21
2026/08/16 20:18:46.605, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.88
2026/08/16 20:19:01.653, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.68
2026/08/16 20:19:16.686, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.16
2026/08/16 20:19:31.733, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.68
2026/08/16 20:19:46.765, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.01
2026/08/16 20:20:01.821, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.91
2026/08/16 20:20:16.854, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.47
2026/08/16 20:20:31.908, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.05
2026/08/16 20:20:46.941, 0, NVIDIA GeForce RTX 4090, 98, 1592, 344.10
2026/08/16 20:21:01.996, 0, NVIDIA GeForce RTX 4090, 95, 1592, 341.30
2026/08/16 20:21:17.030, 0, NVIDIA GeForce RTX 4090, 96, 1592, 341.97
2026/08/16 20:21:32.081, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.90
2026/08/16 20:21:47.113, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.57
2026/08/16 20:22:02.168, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.33
2026/08/16 20:22:17.200, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.79
2026/08/16 20:22:32.253, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.58
2026/08/16 20:22:47.284, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.71
2026/08/16 20:23:02.331, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.84
2026/08/16 20:23:17.364, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.16
2026/08/16 20:23:32.415, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.45
2026/08/16 20:23:47.447, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.53
2026/08/16 20:24:02.502, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.81
2026/08/16 20:24:17.533, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.61
2026/08/16 20:24:32.585, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.19
2026/08/16 20:24:47.620, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.91
2026/08/16 20:25:02.674, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.99
2026/08/16 20:25:17.707, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.40
2026/08/16 20:25:32.763, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.24
2026/08/16 20:25:47.792, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.80
2026/08/16 20:26:02.840, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.87
2026/08/16 20:26:17.869, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.74
2026/08/16 20:26:32.920, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.52
2026/08/16 20:26:47.952, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.24
2026/08/16 20:27:03.001, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.59
2026/08/16 20:27:18.033, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.64
2026/08/16 20:27:33.087, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.70
2026/08/16 20:27:48.117, 0, NVIDIA GeForce RTX 4090, 95, 1592, 341.53
2026/08/16 20:28:03.171, 0, NVIDIA GeForce RTX 4090, 94, 1592, 343.05
2026/08/16 20:28:18.205, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.43
2026/08/16 20:28:33.259, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.82
2026/08/16 20:28:48.291, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.80
2026/08/16 20:29:03.341, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.63
2026/08/16 20:29:18.372, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.35
2026/08/16 20:29:33.425, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.88
2026/08/16 20:29:48.458, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.59
2026/08/16 20:30:03.508, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.93
2026/08/16 20:30:18.541, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.70
2026/08/16 20:30:33.594, 0, NVIDIA GeForce RTX 4090, 96, 1592, 340.95
2026/08/16 20:30:48.625, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.25
2026/08/16 20:31:03.679, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.10
2026/08/16 20:31:18.712, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.17
2026/08/16 20:31:33.764, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.46
2026/08/16 20:31:48.796, 0, NVIDIA GeForce RTX 4090, 96, 1592, 341.62
2026/08/16 20:32:03.850, 0, NVIDIA GeForce RTX 4090, 96, 1592, 342.40
2026/08/16 20:32:18.883, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.27
2026/08/16 20:32:33.938, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.46
2026/08/16 20:32:48.969, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.79
2026/08/16 20:33:04.019, 0, NVIDIA GeForce RTX 4090, 95, 1592, 340.98
2026/08/16 20:33:19.051, 0, NVIDIA GeForce RTX 4090, 100, 1592, 340.10
2026/08/16 20:33:34.104, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.34
2026/08/16 20:33:49.137, 0, NVIDIA GeForce RTX 4090, 99, 1592, 343.73
2026/08/16 20:34:04.192, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.57
2026/08/16 20:34:19.225, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.33
2026/08/16 20:34:34.279, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.29
2026/08/16 20:34:49.311, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.13
2026/08/16 20:35:04.361, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.35
2026/08/16 20:35:19.390, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.83
2026/08/16 20:35:34.438, 0, NVIDIA GeForce RTX 4090, 100, 1592, 339.86
2026/08/16 20:35:49.470, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.84
2026/08/16 20:36:04.524, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.80
2026/08/16 20:36:19.557, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.93
2026/08/16 20:36:34.609, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.78
2026/08/16 20:36:49.642, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.25
2026/08/16 20:37:04.698, 0, NVIDIA GeForce RTX 4090, 100, 1592, 340.71
2026/08/16 20:37:19.731, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.74
2026/08/16 20:37:34.780, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.11
2026/08/16 20:37:49.813, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.16
2026/08/16 20:38:04.865, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.92
2026/08/16 20:38:19.899, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.31
2026/08/16 20:38:34.955, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.14
2026/08/16 20:38:49.987, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.75
2026/08/16 20:39:05.041, 0, NVIDIA GeForce RTX 4090, 95, 1592, 341.56
2026/08/16 20:39:20.073, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.87
2026/08/16 20:39:35.125, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.28
2026/08/16 20:39:50.156, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.74
2026/08/16 20:40:05.211, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.78
2026/08/16 20:40:20.242, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.47
2026/08/16 20:40:35.297, 0, NVIDIA GeForce RTX 4090, 100, 1592, 339.82
2026/08/16 20:40:50.330, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.69
2026/08/16 20:41:05.384, 0, NVIDIA GeForce RTX 4090, 100, 1592, 340.69
2026/08/16 20:41:20.415, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.96
2026/08/16 20:41:35.463, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.18
2026/08/16 20:41:50.493, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.69
2026/08/16 20:42:05.548, 0, NVIDIA GeForce RTX 4090, 95, 1592, 343.28
2026/08/16 20:42:20.580, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.48
2026/08/16 20:42:35.633, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.30
2026/08/16 20:42:50.666, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.80
2026/08/16 20:43:05.722, 0, NVIDIA GeForce RTX 4090, 100, 1592, 342.84
2026/08/16 20:43:20.755, 0, NVIDIA GeForce RTX 4090, 95, 1592, 342.87
