task,arch,model,probe,probe_display,layer,count,mean,std,min,max
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,0,840597504,-0.007889,0.190683,-2.971421,2.920594
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,1,840597504,-0.004673,0.225660,-3.424097,3.419801
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,2,840597504,0.007543,0.218979,-3.733521,3.803522
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,3,840597504,-0.001554,0.194209,-3.460841,3.204226
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,4,840597504,-0.006463,0.220713,-4.371221,3.873683
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,5,840597504,0.003597,0.134648,-4.205885,4.214485
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,6,840597504,0.000195,0.190202,-3.976752,4.095361
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,7,840597504,-0.003519,0.222934,-3.691214,4.068917
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,8,840597504,-0.004741,0.314642,-4.100099,4.076495
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,9,840597504,-0.001719,0.267597,-5.254885,3.602126
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,10,840597504,0.007325,0.396477,-3.384495,4.223931
cola,bert,textattack/bert-base-uncased-CoLA,attn_context,Softmax × V,11,840597504,0.013823,0.467472,-3.910879,4.273846
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,0,840597504,0.000865,0.214192,-6.067585,5.661452
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,1,840597504,-0.002112,0.224091,-2.841935,3.297056
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,2,840597504,0.002682,0.189454,-2.614152,2.734571
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,3,840597504,-0.000227,0.169071,-2.570979,2.926809
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,4,840597504,0.000075,0.221679,-3.362534,2.977515
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,5,840597504,0.002312,0.135470,-3.120353,3.102763
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,6,840597504,0.000770,0.181084,-2.968783,3.118229
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,7,840597504,0.000869,0.213312,-3.457115,3.049729
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,8,840597504,-0.000694,0.305181,-7.053861,5.719517
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,9,840597504,0.000990,0.277096,-7.338992,5.282234
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,10,840597504,-0.001275,0.396154,-4.753237,5.413394
cola,bert,textattack/bert-base-uncased-CoLA,attn_output,Attn × Wₒ,11,840597504,-0.001746,0.524724,-4.632844,4.719386
