episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
277,36.63918667,-3.19118329,37.87875913,,,,,,
278,36.65265398,-3.19118329,37.87875913,,,,,,
279,36.64501934,-3.19118329,37.87875913,,,,,,
280,36.65009027,-3.19118329,37.87875913,,,,,,
281,36.63920607,-3.19118329,37.87875913,,,,,,
282,36.63920607,-3.19118329,37.87875913,,,,,,
283,36.64428737,-3.19118329,37.87875913,,,,,,
284,36.64428737,-3.19118329,37.87875913,,,,,,
285,36.64427284,-3.19118329,37.87875913,,,,,,
286,36.63667171,-3.19118329,37.87875913,,,,,,
287,36.62902573,-3.19118329,37.87875913,,,,,,
288,36.63409336,-3.19118329,37.87875913,,,,,,
289,35.96307529,-3.19118329,37.87875913,,,,,,
290,35.95213732,-3.19118329,37.87875913,,,,,,
291,35.27603661,-3.19118329,37.87875913,,,,,,
292,35.27603942,-3.19118329,37.87875913,,,,,,
293,35.28442542,-3.19118329,37.87875913,,,,,,
294,35.28696607,-3.19118329,37.87875913,,,,,,
295,35.28950672,-3.19118329,37.87875913,,,,,,
296,35.28950672,-3.19118329,37.87875913,,,,,,
297,35.29463145,-3.19118329,37.87875913,,,,,,
298,35.29720660,-3.19118329,37.87875913,,,,,,
299,35.29980198,-3.19118329,37.87875913,36.72579621,-3.19229440,37.88058921,,,
300,35.30492493,-3.19118329,37.87875913,36.72631267,-3.19229440,37.88058921,,,
301,35.30998500,-3.19118329,37.87875913,36.72681655,-3.19229440,37.88058921,,,
302,35.31507998,-3.19118329,37.87875913,36.72783554,-3.19229440,37.88058921,,,
303,35.30743680,-3.19118329,37.87875913,36.72783554,-3.19229440,37.88058921,,,
304,35.29653097,-3.19118329,37.87875913,36.72783971,-3.19229440,37.88058921,,,
305,35.28889535,-3.19118329,37.87875913,36.72783971,-3.19229440,37.88058921,,,
306,35.28383699,-3.19118329,37.87875913,36.72835667,-3.19229440,37.88058921,,,
307,35.27875569,-3.19118329,37.87875913,36.72835667,-3.19229440,37.88058921,,,
308,35.27875569,-3.19118329,37.87875913,36.72835667,-3.19229440,37.88058921,,,
309,35.28384968,-3.19118329,37.87875913,36.72937547,-3.19229440,37.88058921,,,
310,35.27872593,-3.19118329,37.87875913,36.72987936,-3.19229440,37.88058921,,,
311,35.27615137,-3.19118329,37.87875913,36.73038324,-3.19229440,37.88058921,,,
312,34.60000885,-3.19295230,37.87875913,36.59617373,-3.19295230,37.88058921,,,
313,34.59748902,-3.19295230,37.87875913,36.59618214,-3.19295230,37.88058921,,,
314,34.59238234,-3.19295230,37.87875913,36.59618214,-3.19295230,37.88058921,,,
315,34.59236867,-3.19295230,37.87875913,36.59887560,-3.19295230,37.88058921,,,
316,34.59492201,-3.19295230,37.87875913,36.59938627,-3.19295230,37.88058921,,,
317,34.58982802,-3.19295230,37.87875913,36.59938627,-3.19295230,37.88058921,,,
318,34.58981435,-3.19295230,37.87875913,36.60207973,-3.19295230,37.88058921,,,
319,34.58472036,-3.19295230,37.87875913,36.60207973,-3.19295230,37.88058921,,,
320,34.58219338,-3.19295230,37.87875913,36.60259059,-3.19295230,37.88058921,,,
321,34.58729473,-3.19295230,37.87875913,36.60412153,-3.19295230,37.88058921,,,
322,34.59490953,-3.19295230,37.87875913,36.60564449,-3.19295230,37.88058921,,,
323,34.59490953,-3.19295230,37.87875913,36.60564449,-3.19295230,37.88058921,,,
324,34.59163534,-3.19295230,37.87875913,36.60717772,-3.19295230,37.88058921,,,
325,34.59418966,-3.19295230,37.87875913,36.60768858,-3.19295230,37.88058921,,,
326,34.59668614,-3.19295230,37.87875913,36.60870484,-3.19295230,37.88058921,,,
327,34.59162606,-3.19295230,37.87875913,36.60870909,-3.19295230,37.88058921,,,
328,34.58325373,-3.19295230,37.87875913,36.60972808,-3.19295230,37.88058921,,,
329,34.58325373,-3.19295230,37.87875913,36.60972808,-3.19295230,37.88058921,,,
330,34.59089650,-3.19295230,37.87875913,36.61125663,-3.19295230,37.88058921,,,
331,34.59342447,-3.19295230,37.87875913,36.61278102,-3.19295230,37.88058921,,,
