sample,timestamp,index,name,memory_used_mib,utilization_gpu_pct,power_draw_w
29,2026/07/13 22:17:12.180, 3, NVIDIA GeForce RTX 5090, 3065, 35, 208.66
29,2026/07/13 22:17:12.187, 4, NVIDIA GeForce RTX 5090, 3065, 38, 219.33
30,2026/07/13 22:17:13.280, 0, NVIDIA GeForce RTX 5090, 3245, 38, 238.11
30,2026/07/13 22:17:13.284, 1, NVIDIA GeForce RTX 5090, 3065, 36, 232.59
30,2026/07/13 22:17:13.287, 2, NVIDIA GeForce RTX 5090, 3065, 40, 244.74
30,2026/07/13 22:17:13.291, 3, NVIDIA GeForce RTX 5090, 3065, 37, 234.19
30,2026/07/13 22:17:13.293, 4, NVIDIA GeForce RTX 5090, 3065, 41, 249.31
31,2026/07/13 22:17:14.419, 0, NVIDIA GeForce RTX 5090, 3245, 14, 212.70
31,2026/07/13 22:17:14.425, 1, NVIDIA GeForce RTX 5090, 3065, 41, 204.11
31,2026/07/13 22:17:14.428, 2, NVIDIA GeForce RTX 5090, 3065, 34, 201.83
31,2026/07/13 22:17:14.431, 3, NVIDIA GeForce RTX 5090, 3065, 40, 210.90
31,2026/07/13 22:17:14.435, 4, NVIDIA GeForce RTX 5090, 3065, 40, 218.68
32,2026/07/13 22:17:15.570, 0, NVIDIA GeForce RTX 5090, 3245, 42, 219.79
32,2026/07/13 22:17:15.576, 1, NVIDIA GeForce RTX 5090, 3065, 40, 206.64
32,2026/07/13 22:17:15.580, 2, NVIDIA GeForce RTX 5090, 3065, 41, 213.70
32,2026/07/13 22:17:15.583, 3, NVIDIA GeForce RTX 5090, 3065, 35, 210.08
32,2026/07/13 22:17:15.588, 4, NVIDIA GeForce RTX 5090, 3065, 36, 218.01
33,2026/07/13 22:17:16.729, 0, NVIDIA GeForce RTX 5090, 3245, 5, 224.61
33,2026/07/13 22:17:16.734, 1, NVIDIA GeForce RTX 5090, 3065, 12, 206.18
33,2026/07/13 22:17:16.738, 2, NVIDIA GeForce RTX 5090, 3065, 39, 214.33
33,2026/07/13 22:17:16.741, 3, NVIDIA GeForce RTX 5090, 3065, 2, 211.23
33,2026/07/13 22:17:16.748, 4, NVIDIA GeForce RTX 5090, 3065, 38, 219.72
34,2026/07/13 22:17:17.883, 0, NVIDIA GeForce RTX 5090, 3245, 40, 236.08
34,2026/07/13 22:17:17.887, 1, NVIDIA GeForce RTX 5090, 3065, 40, 220.52
34,2026/07/13 22:17:17.891, 2, NVIDIA GeForce RTX 5090, 3065, 40, 237.54
34,2026/07/13 22:17:17.894, 3, NVIDIA GeForce RTX 5090, 3065, 40, 225.10
34,2026/07/13 22:17:17.897, 4, NVIDIA GeForce RTX 5090, 3065, 40, 248.74
35,2026/07/13 22:17:18.983, 0, NVIDIA GeForce RTX 5090, 3245, 38, 213.00
35,2026/07/13 22:17:18.990, 1, NVIDIA GeForce RTX 5090, 3065, 34, 206.83
35,2026/07/13 22:17:18.993, 2, NVIDIA GeForce RTX 5090, 3065, 34, 205.21
35,2026/07/13 22:17:18.996, 3, NVIDIA GeForce RTX 5090, 3065, 40, 206.79
35,2026/07/13 22:17:18.999, 4, NVIDIA GeForce RTX 5090, 3065, 22, 213.50
36,2026/07/13 22:17:20.149, 0, NVIDIA GeForce RTX 5090, 3245, 41, 205.38
36,2026/07/13 22:17:20.154, 1, NVIDIA GeForce RTX 5090, 3065, 30, 197.64
36,2026/07/13 22:17:20.158, 2, NVIDIA GeForce RTX 5090, 3065, 0, 214.64
36,2026/07/13 22:17:20.162, 3, NVIDIA GeForce RTX 5090, 3065, 29, 200.30
36,2026/07/13 22:17:20.165, 4, NVIDIA GeForce RTX 5090, 3065, 34, 218.66
37,2026/07/13 22:17:21.308, 0, NVIDIA GeForce RTX 5090, 3245, 35, 246.51
37,2026/07/13 22:17:21.313, 1, NVIDIA GeForce RTX 5090, 3065, 34, 234.25
37,2026/07/13 22:17:21.317, 2, NVIDIA GeForce RTX 5090, 3065, 40, 229.01
37,2026/07/13 22:17:21.321, 3, NVIDIA GeForce RTX 5090, 3065, 35, 238.13
37,2026/07/13 22:17:21.325, 4, NVIDIA GeForce RTX 5090, 3065, 0, 239.43
38,2026/07/13 22:17:22.460, 0, NVIDIA GeForce RTX 5090, 3245, 41, 212.68
38,2026/07/13 22:17:22.467, 1, NVIDIA GeForce RTX 5090, 3065, 36, 205.28
38,2026/07/13 22:17:22.471, 2, NVIDIA GeForce RTX 5090, 3065, 33, 225.98
38,2026/07/13 22:17:22.478, 3, NVIDIA GeForce RTX 5090, 3065, 39, 207.67
38,2026/07/13 22:17:22.481, 4, NVIDIA GeForce RTX 5090, 3065, 36, 231.61
39,2026/07/13 22:17:23.619, 0, NVIDIA GeForce RTX 5090, 3245, 41, 220.67
39,2026/07/13 22:17:23.624, 1, NVIDIA GeForce RTX 5090, 3065, 38, 212.06
39,2026/07/13 22:17:23.628, 2, NVIDIA GeForce RTX 5090, 3065, 0, 210.05
39,2026/07/13 22:17:23.633, 3, NVIDIA GeForce RTX 5090, 3065, 37, 217.62
39,2026/07/13 22:17:23.636, 4, NVIDIA GeForce RTX 5090, 3065, 43, 232.53
40,2026/07/13 22:17:24.775, 0, NVIDIA GeForce RTX 5090, 3245, 35, 218.54
40,2026/07/13 22:17:24.780, 1, NVIDIA GeForce RTX 5090, 3065, 38, 213.56
40,2026/07/13 22:17:24.785, 2, NVIDIA GeForce RTX 5090, 3065, 49, 222.59
40,2026/07/13 22:17:24.788, 3, NVIDIA GeForce RTX 5090, 3065, 34, 216.80
40,2026/07/13 22:17:24.791, 4, NVIDIA GeForce RTX 5090, 3065, 0, 199.15
41,2026/07/13 22:17:25.928, 0, NVIDIA GeForce RTX 5090, 3245, 42, 242.95
41,2026/07/13 22:17:25.933, 1, NVIDIA GeForce RTX 5090, 3065, 50, 239.34
41,2026/07/13 22:17:25.937, 2, NVIDIA GeForce RTX 5090, 3065, 0, 239.25
41,2026/07/13 22:17:25.941, 3, NVIDIA GeForce RTX 5090, 3065, 44, 239.12
41,2026/07/13 22:17:25.945, 4, NVIDIA GeForce RTX 5090, 3065, 40, 251.44
42,2026/07/13 22:17:27.085, 0, NVIDIA GeForce RTX 5090, 3245, 41, 241.33
42,2026/07/13 22:17:27.090, 1, NVIDIA GeForce RTX 5090, 3065, 37, 210.75
42,2026/07/13 22:17:27.094, 2, NVIDIA GeForce RTX 5090, 3065, 41, 213.13
42,2026/07/13 22:17:27.098, 3, NVIDIA GeForce RTX 5090, 3065, 37, 237.64
42,2026/07/13 22:17:27.101, 4, NVIDIA GeForce RTX 5090, 3065, 35, 224.35
43,2026/07/13 22:17:28.240, 0, NVIDIA GeForce RTX 5090, 3245, 22, 216.65
43,2026/07/13 22:17:28.245, 1, NVIDIA GeForce RTX 5090, 3065, 37, 207.10
43,2026/07/13 22:17:28.249, 2, NVIDIA GeForce RTX 5090, 3065, 41, 209.78
43,2026/07/13 22:17:28.253, 3, NVIDIA GeForce RTX 5090, 3065, 34, 210.46
43,2026/07/13 22:17:28.257, 4, NVIDIA GeForce RTX 5090, 3065, 34, 215.29
44,2026/07/13 22:17:29.375, 0, NVIDIA GeForce RTX 5090, 3245, 33, 216.96
44,2026/07/13 22:17:29.380, 1, NVIDIA GeForce RTX 5090, 3065, 40, 202.80
44,2026/07/13 22:17:29.384, 2, NVIDIA GeForce RTX 5090, 3065, 34, 206.61
44,2026/07/13 22:17:29.387, 3, NVIDIA GeForce RTX 5090, 3065, 35, 207.63
44,2026/07/13 22:17:29.391, 4, NVIDIA GeForce RTX 5090, 3065, 40, 218.43
45,2026/07/13 22:17:30.505, 0, NVIDIA GeForce RTX 5090, 3245, 4, 228.40
45,2026/07/13 22:17:30.509, 1, NVIDIA GeForce RTX 5090, 3065, 39, 230.35
45,2026/07/13 22:17:30.513, 2, NVIDIA GeForce RTX 5090, 3065, 34, 235.26
45,2026/07/13 22:17:30.516, 3, NVIDIA GeForce RTX 5090, 3065, 40, 227.49
45,2026/07/13 22:17:30.518, 4, NVIDIA GeForce RTX 5090, 3065, 40, 246.79
46,2026/07/13 22:17:31.646, 0, NVIDIA GeForce RTX 5090, 3245, 36, 218.26
46,2026/07/13 22:17:31.653, 1, NVIDIA GeForce RTX 5090, 3065, 34, 219.04
46,2026/07/13 22:17:31.658, 2, NVIDIA GeForce RTX 5090, 3065, 32, 210.17
46,2026/07/13 22:17:31.662, 3, NVIDIA GeForce RTX 5090, 3065, 40, 229.45
46,2026/07/13 22:17:31.665, 4, NVIDIA GeForce RTX 5090, 3065, 40, 244.92
47,2026/07/13 22:17:32.760, 0, NVIDIA GeForce RTX 5090, 3245, 41, 213.37
47,2026/07/13 22:17:32.766, 1, NVIDIA GeForce RTX 5090, 3065, 37, 204.16
47,2026/07/13 22:17:32.769, 2, NVIDIA GeForce RTX 5090, 3065, 41, 214.68
47,2026/07/13 22:17:32.773, 3, NVIDIA GeForce RTX 5090, 3065, 32, 211.78
47,2026/07/13 22:17:32.777, 4, NVIDIA GeForce RTX 5090, 3065, 10, 220.58
48,2026/07/13 22:17:33.912, 0, NVIDIA GeForce RTX 5090, 3245, 40, 245.08
48,2026/07/13 22:17:33.920, 1, NVIDIA GeForce RTX 5090, 3065, 10, 224.77
48,2026/07/13 22:17:33.923, 2, NVIDIA GeForce RTX 5090, 3065, 0, 214.34
48,2026/07/13 22:17:33.927, 3, NVIDIA GeForce RTX 5090, 3065, 29, 232.09
48,2026/07/13 22:17:33.932, 4, NVIDIA GeForce RTX 5090, 3065, 36, 223.14
49,2026/07/13 22:17:35.045, 0, NVIDIA GeForce RTX 5090, 3245, 40, 250.60
49,2026/07/13 22:17:35.049, 1, NVIDIA GeForce RTX 5090, 3065, 39, 210.36
49,2026/07/13 22:17:35.052, 2, NVIDIA GeForce RTX 5090, 3065, 45, 263.93
49,2026/07/13 22:17:35.056, 3, NVIDIA GeForce RTX 5090, 3065, 34, 240.80
49,2026/07/13 22:17:35.059, 4, NVIDIA GeForce RTX 5090, 3065, 40, 229.64
50,2026/07/13 22:17:36.187, 0, NVIDIA GeForce RTX 5090, 3245, 41, 214.94
50,2026/07/13 22:17:36.192, 1, NVIDIA GeForce RTX 5090, 3065, 45, 241.21
50,2026/07/13 22:17:36.197, 2, NVIDIA GeForce RTX 5090, 3065, 38, 195.87
50,2026/07/13 22:17:36.201, 3, NVIDIA GeForce RTX 5090, 3065, 40, 217.14
50,2026/07/13 22:17:36.208, 4, NVIDIA GeForce RTX 5090, 3065, 40, 232.45
51,2026/07/13 22:17:37.347, 0, NVIDIA GeForce RTX 5090, 3245, 49, 190.02
51,2026/07/13 22:17:37.354, 1, NVIDIA GeForce RTX 5090, 3065, 0, 154.16
51,2026/07/13 22:17:37.358, 2, NVIDIA GeForce RTX 5090, 3065, 0, 182.69
51,2026/07/13 22:17:37.362, 3, NVIDIA GeForce RTX 5090, 3065, 27, 182.68
51,2026/07/13 22:17:37.366, 4, NVIDIA GeForce RTX 5090, 3065, 34, 173.95
52,2026/07/13 22:17:38.466, 0, NVIDIA GeForce RTX 5090, 3245, 37, 235.49
52,2026/07/13 22:17:38.470, 1, NVIDIA GeForce RTX 5090, 3065, 36, 232.08
52,2026/07/13 22:17:38.473, 2, NVIDIA GeForce RTX 5090, 3065, 38, 237.09
52,2026/07/13 22:17:38.476, 3, NVIDIA GeForce RTX 5090, 3065, 34, 236.28
52,2026/07/13 22:17:38.479, 4, NVIDIA GeForce RTX 5090, 3065, 36, 243.81
53,2026/07/13 22:17:39.585, 0, NVIDIA GeForce RTX 5090, 3245, 35, 224.88
53,2026/07/13 22:17:39.591, 1, NVIDIA GeForce RTX 5090, 3065, 0, 202.25
